,NTNF 0.5y,NTNF 1y,NTNF 1.5y,NTNF 2y,NTNF 3y,NTNF 4y,NTNF 5y,NTNF 6y,NTNF 7y,NTNF 8y
2019-09-10 00:00:00,413.8749160982241,452.8876019184332,491.8498188863411,529.6364842640517,572.2648201809776,580.3795918246838,607.1290931088562,659.1410050144102,671.5425132558756,737.7797788963112
2019-09-11 00:00:00,413.9733069150329,452.94634576963784,491.93131151045094,529.505116800912,572.2627438198446,580.7364847523057,607.560422718436,659.996440829085,672.5109306395908,738.8741243179445
2019-09-12 00:00:00,414.10127242460686,453.18079295734793,492.0628813555934,530.1444666686075,573.1497058705284,581.6986594866264,609.1067080610255,662.0051800730171,673.7474071807819,739.978317801273
2019-09-13 00:00:00,414.179785883345,453.2443085622083,492.245184353444,529.6094089070194,572.322513739866,579.7378519811575,607.6263992264192,658.2259186814559,669.7432576176959,735.5309550601327
2019-09-16 00:00:00,414.33666880804327,453.6286462962288,492.3658006293807,530.728022616518,573.9325009253243,582.1691879343807,608.0110798947787,661.5340878209175,673.7700909304288,740.1609961257768
2019-09-17 00:00:00,414.4549122515408,453.8508115237116,492.797903572156,531.6148668634295,575.5300217084081,584.848959240357,610.411096703401,665.426822173494,678.3817170133294,745.430130201682
2019-09-18 00:00:00,414.54662557720764,453.916593301862,493.4804528477442,531.6246588101942,575.7258524299427,584.5734187249556,613.2907976364102,666.0147393411833,679.025082301616,746.1508845977717
2019-09-19 00:00:00,414.700272507938,454.5680523085757,494.6894969604706,533.2726140947202,577.6345887712502,586.2686486432019,614.9395281028463,666.8647461436608,679.8391247261515,747.028912613438
2019-09-20 00:00:00,414.8094340319964,454.7963411180964,494.66503334994974,533.9984403444681,578.9153555418156,588.6745563330923,615.2467824712865,670.8260733827741,684.0101466545104,751.6537633839914
2019-09-23 00:00:00,414.88271477912957,454.76165521529475,495.00260005086574,533.643241233501,578.4450005015415,587.7551152659963,615.9253549126261,669.3866430111187,682.3073948573417,749.7089160964987
2019-09-24 00:00:00,414.9667881947937,454.8509402081581,494.97737627106716,533.6031001251959,578.1365386656094,587.2917903329219,615.4517119590234,667.5403470654361,680.1103394271511,747.195969276697
2019-09-25 00:00:00,415.0487148370511,454.96754451813274,494.7659521172733,533.986015635249,578.7514351545723,588.3013599715661,614.9498213429563,670.1813092510198,683.4688557492223,751.0953657776531
2019-09-26 00:00:00,415.14462666790484,455.18822519756793,495.3653238940128,534.368075625555,579.3139308253648,589.0740384295347,617.5064782512626,671.9222304615512,684.8957682188234,752.5541866994142
2019-09-27 00:00:00,415.2408640519658,455.3163668144625,495.47562590507994,534.6447071079422,579.8772994791523,589.8788314854036,618.131166849178,672.6119217925135,685.7593978365617,753.5535191314542
2019-09-30 00:00:00,415.3230603824295,455.4291286792955,495.57920833490687,534.8585741088434,580.427517211554,590.3931800927029,618.1302438687219,672.7894336984059,686.0205215283772,753.8655925900196
2019-10-01 00:00:00,415.41250070893244,455.59966331851615,495.6153987795387,534.9839041829113,580.429885677999,590.7977072127245,618.1374558391547,673.9955971756173,687.7202601888232,755.8807738870469
2019-10-02 00:00:00,415.51039557014855,455.72236392900254,495.77116864608945,535.100387855992,580.6151905955169,590.6868670670964,618.5151358871387,673.2904581078739,686.4733976527234,754.3450676169222
2019-10-03 00:00:00,415.6183409575544,455.99628733330405,496.17108143250255,535.8303821317985,581.6058536345838,591.8020485758001,619.4757391153852,674.7278431162282,688.2183976557731,756.350244189804
2019-10-04 00:00:00,415.69801157892584,456.1265964671823,496.6555779180611,536.014213481242,582.1122070136003,592.4381071814835,621.0396996787526,675.5348017595804,689.4636764194348,757.8511552962733
2019-10-07 00:00:00,415.77250569485346,456.18465601526447,496.72964838951873,535.9578374819367,581.8255805627597,591.7209955192474,620.5783534546608,673.67943515986,687.4291120054146,755.5706262001029
2019-10-08 00:00:00,415.8692231003327,456.3713165014754,496.7608416272645,536.6055725885383,582.448924810949,592.6958562849297,620.4635837546545,675.0502241138356,689.1077576540913,757.5033727065565
